second,Volt
-25.700E-03,-10.050E-03
-25.600E-03,-11.311E-03
-25.500E-03,-9.308E-03
-25.400E-03,-6.701E-03
-25.300E-03,-11.765E-03
-25.200E-03,-9.619E-03
-25.100E-03,-10.705E-03
-25.000E-03,-15.762E-03
-24.900E-03,-8.400E-03
-24.800E-03,-10.928E-03
-24.700E-03,-12.844E-03
-24.600E-03,-13.881E-03
-24.500E-03,-10.050E-03
-24.400E-03,-10.050E-03
-24.300E-03,-13.521E-03
-24.200E-03,-21.989E-03
-24.100E-03,-13.094E-03
-24.000E-03,-7.037E-03
-23.900E-03,-11.576E-03
-23.800E-03,-12.026E-03
-23.700E-03,-11.155E-03
-23.600E-03,-10.182E-03
-23.500E-03,-14.491E-03
-23.400E-03,-12.060E-03
-23.300E-03,-16.857E-03
-23.200E-03,-16.341E-03
-23.100E-03,-11.348E-03
-23.000E-03,-12.223E-03
-22.900E-03,-16.047E-03
-22.800E-03,-12.871E-03
-22.700E-03,-15.789E-03
-22.600E-03,-8.721E-03
-22.500E-03,-13.032E-03
-22.400E-03,-13.324E-03
-22.300E-03,-18.090E-03
-22.200E-03,-15.498E-03
-22.100E-03,-18.090E-03
-22.000E-03,-12.742E-03
-21.900E-03,-16.080E-03
-21.800E-03,-14.426E-03
-21.700E-03,-17.216E-03
-21.600E-03,-14.688E-03
-21.500E-03,-15.883E-03
-21.400E-03,-20.101E-03
-21.300E-03,-15.142E-03
-21.200E-03,-18.995E-03
-21.100E-03,-16.115E-03
-21.000E-03,-16.008E-03
-20.900E-03,-16.080E-03
-20.800E-03,-19.123E-03
-20.700E-03,-16.080E-03
-20.600E-03,-17.178E-03
-20.500E-03,-17.148E-03
-20.400E-03,-18.090E-03
-20.300E-03,-17.996E-03
-20.200E-03,-19.488E-03
-20.100E-03,-18.969E-03
-20.000E-03,-17.731E-03
-19.900E-03,-21.000E-03
-19.800E-03,-14.770E-03
-19.700E-03,-14.834E-03
-19.600E-03,-19.805E-03
-19.500E-03,-18.090E-03
-19.400E-03,-20.627E-03
-19.300E-03,-18.872E-03
-19.200E-03,-25.668E-03
-19.100E-03,-20.675E-03
-19.000E-03,-22.917E-03
-18.900E-03,-22.796E-03
-18.800E-03,-24.121E-03
-18.700E-03,-25.427E-03
-18.600E-03,-23.250E-03
-18.500E-03,-24.121E-03
-18.400E-03,-24.121E-03
-18.300E-03,-24.537E-03
-18.200E-03,-25.196E-03
-18.100E-03,-25.017E-03
-18.000E-03,-24.159E-03
-17.900E-03,-24.601E-03
-17.800E-03,-24.133E-03
-17.700E-03,-26.131E-03
-17.600E-03,-28.115E-03
-17.500E-03,-25.210E-03
-17.400E-03,-29.087E-03
-17.300E-03,-26.131E-03
-17.200E-03,-26.312E-03
-17.100E-03,-24.730E-03
-17.000E-03,-28.778E-03
-16.900E-03,-28.504E-03
-16.800E-03,-28.141E-03
-16.700E-03,-31.487E-03
-16.600E-03,-30.151E-03
-16.500E-03,-30.151E-03
-16.400E-03,-32.599E-03
-16.300E-03,-30.889E-03
-16.200E-03,-29.900E-03
-16.100E-03,-36.416E-03
-16.000E-03,-34.171E-03
-15.900E-03,-36.587E-03
-15.800E-03,-34.171E-03
-15.700E-03,-32.332E-03
-15.600E-03,-26.208E-03
-15.500E-03,-33.027E-03
-15.400E-03,-34.796E-03
-15.300E-03,-36.181E-03
-15.200E-03,-37.779E-03
-15.100E-03,-37.260E-03
-15.000E-03,-37.630E-03
-14.900E-03,-38.149E-03
-14.800E-03,-35.704E-03
-14.700E-03,-36.181E-03
-14.600E-03,-39.705E-03
-14.500E-03,-44.065E-03
-14.400E-03,-40.742E-03
-14.300E-03,-38.191E-03
-14.200E-03,-44.221E-03
-14.100E-03,-42.298E-03
-14.000E-03,-40.201E-03
-13.900E-03,-38.191E-03
-13.800E-03,-41.843E-03
-13.700E-03,-46.684E-03
-13.600E-03,-39.530E-03
-13.500E-03,-43.399E-03
